boat_position_x;boat_position_y;boat_velocity_x;boat_velocity_y;boat_angle;action_rudder;reward;rudder_angle;n
0;0;0;0;0;0;0;0;20
0.75;4.592425496802574e-17;3;0;0.0;-0.5239671;0.1;0;20
1.5001390391607776;9.185702362921161e-17;3.0005561566431105;0.0;0.0;-0.097633;0.1;0;20
2.250416643909231;1.3779827698556843e-16;3.001110418993813;0.0;0.0;0.35938817;0.1;0;20
3.000832342100748;1.8374798612657682e-16;3.001662792766069;0.0;0.0;-0.03519251;0.1;0;20
3.751385663016226;2.2970612222900463e-16;3.0022132836619106;0.0;0.0;0.19007698;0.1;0;20
4.502076137359083;2.7567265655672407e-16;3.0027618973714296;0.0;0.0;-0.12141768;0.1;0;20
5.2529032972522725;3.216475604605287e-16;3.0033086395727597;0.0;0.0;-0.09796958;0.1;0;20
6.003866676235288;3.6763080537795023e-16;3.0038535159320623;0.0;0.0;0.04568006;0.1;0;20
6.754965809261166;4.1362236283307494e-16;3.004396532103513;0.0;0.0;0.20497008;0.1;0;20
7.506200232693488;4.5962220443636e-16;3.004937693729288;0.0;0.0;0.6117122;0.1;0;20
8.257569484303376;5.056303018844496e-16;3.0054770064395506;0.0;0.0;0.31511837;0.1;0;20
9.009073103266486;5.516466269599908e-16;3.006014475852437;0.0;0.0;-0.23470871;0.1;0;20
9.760710630159997;5.976711515314494e-16;3.0065501075740455;0.0;0.0;0.036082584;0.1;0;20
10.512481606959602;6.437038475529252e-16;3.007083907198423;0.0;0.0;0.41904855;0.1;0;20
11.26438557703649;6.897446870639676e-16;3.007615880307553;0.0;0.0;-0.03779508;0.1;0;20
12.016422085154327;7.357936421893907e-16;3.0081460324713456;0.0;0.0;0.0633002;0.1;0;20
12.768590677466232;7.81850685139088e-16;3.0086743692476245;0.0;0.0;0.328785;0.1;0;20
13.52089090151176;8.279157882078477e-16;3.0092008961821173;0.0;0.0;-0.10191565;0.1;0;20
14.273322306213872;8.739889237751671e-16;3.009725618808444;0.0;0.0;-0.14103049;0.1;0;20
15.025884441875899;9.20070064305067e-16;3.0102485426481085;0.0;0.0;-0.21272945;0.1;0;20
15.778576860178521;9.661591823459063e-16;3.010769673210487;0.0;0.0;0.2965496;0.1;0;20
16.531399114176725;1.0122562505301963e-15;3.01128901599282;0.0;0.0;0.14443105;0.1;0;20
17.284350758296775;1.0583612415744142e-15;3.0118065764802027;0.0;0.0;0.29243886;0.1;0;20
18.03743134833317;1.1044741282788177e-15;3.0123223601455766;0.0;0.0;-0.019982297;0.1;0;20
18.7906404414456;1.1505948835272586e-15;3.01283637244972;0.0;0.0;0.19742501;0.1;0;20
19.543977596155912;1.1967234802869963e-15;3.013348618841242;0.0;0.0;-0.2368318;0.1;0;20
20.297442372345056;1.242859891608512e-15;3.0138591047565724;0.0;0.0;0.0023363563;0.1;0;20
21.051034331250044;1.2890040906253209e-15;3.014367835619956;0.0;0.0;0.0335535;0.1;0;20
21.804753035460905;1.335156050553787e-15;3.014874816843445;0.0;0.0;0.066431314;0.1;0;20
22.558598048917627;1.3813157446929354e-15;3.015380053826893;0.0;0.0;-0.07992405;0.1;0;20
23.312568936907113;1.427483146424266e-15;3.0158835519579474;0.0;0.0;-0.47804946;0.1;0;20
24.066665266060124;1.4736582292115662e-15;3.0163853166120433;0.0;0.0;-0.10665024;0.1;0;20
24.820886604348225;1.5198409666007239e-15;3.0168853531523996;0.0;0.0;-0.028078517;0.1;0;20
25.57523252108073;1.5660313322195407e-15;3.0173836669300114;0.0;0.0;0.17584592;0.1;0;20
26.32970258690164;1.6122292997775443e-15;3.0178802632836463;0.0;0.0;-0.2541223;0.1;0;20
27.0842963737866;1.6584348430658015e-15;3.0183751475398393;0.0;0.0;-0.39698723;0.1;0;20
27.839013455039822;1.704647935956731e-15;3.018868325012887;0.0;0.0;0.05033775;0.1;0;20
28.593853405291032;1.7508685524039158e-15;3.0193598010048457;0.0;0.0;0.34711275;0.1;0;20
29.348815800492414;1.7970966664419152e-15;3.0198495808055252;0.0;0.0;-0.2035124;0.1;0;20
30.103900217915537;1.8433322521860786e-15;3.0203376696924877;0.0;0.0;-0.23183581;0.1;0;20
30.8591062361483;1.889575283832357e-15;3.0208240729310423;0.0;0.0;-0.4409379;0.1;0;20
31.61443343509186;1.9358257356571157e-15;3.021308795774243;0.0;0.0;0.13879669;0.1;0;20
32.369881395957584;1.982083582016946e-15;3.0217918434628857;0.0;0.0;-0.4355707;0.1;0;20
33.12544970126396;2.028348797348478e-15;3.0222732212255066;0.0;0.0;0.05062252;0.1;0;20
33.88113793483355;2.074621356168194e-15;3.0227529342783788;0.0;0.0;0.13590994;0.1;0;20
34.63694568178993;2.1209012330722393e-15;3.023230987825512;0.0;0.0;-0.47451857;0.1;0;20
35.39287252855459;2.167188402736234e-15;3.023707387058649;0.0;0.0;-0.34661674;0.1;0;20
36.148918062843904;2.213482839915087e-15;3.0241821371572666;0.0;0.0;-0.010450194;0.1;0;20
36.90508187366605;2.2597845194428072e-15;3.0246552432885734;0.0;0.0;-0.21121372;0.1;0;20
37.661363551317926;2.3060934162323153e-15;3.025126710607509;0.0;0.0;0.14242177;0.1;0;20
38.417762687382115;2.352409505275257e-15;3.0255965442567443;0.0;0.0;0.06497851;0.1;0;20
39.17427887472378;2.3987327616418137e-15;3.0260647493666806;0.0;0.0;-0.5718541;0.1;0;20
39.930911707487645;2.4450631604805166e-15;3.02653133105545;0.0;0.0;-0.14328799;0.1;0;20
40.68766078109488;2.4914006770180574e-15;3.026996294428917;0.0;0.0;0.057545643;0.1;0;20
